ch_i,ch_j,idx_i,idx_j,raw,pruned,diff
AF4,Oz,5,55,3,0,-3
F7,PO4,8,53,3,1,-2
F7,Oz,8,55,3,0,-3
T3,P2,24,44,3,0,-3
C3,P4,26,45,3,0,-3
FT8,P2,23,44,3,1,-2
FT8,PO8,23,54,3,0,-3
C3,CP5,26,33,3,0,-3
C3,CP1,26,35,3,0,-3
AF8,FT8,6,23,3,0,-3
AF8,T3,6,24,3,0,-3
AF7,FT7,1,16,3,0,-3
F8,T6,15,47,3,0,-3
F8,T5,15,40,3,0,-3
F7,C1,8,27,3,0,-3
F8,FC2,15,20,3,0,-3
TP8,Oz,39,55,3,0,-3
P2,FPz,44,48,3,0,-3
TP8,PO8,39,54,3,0,-3
PO3,PO4,50,53,3,1,-2
PO3,O1,50,51,3,2,-1
AF7,P2,1,44,3,0,-3
P3,O2,42,52,3,1,-2
P3,P6,42,46,2,2,0
P3,Oz,42,55,2,0,-2
AF7,CP4,1,37,2,0,-2
AF7,T5,1,40,2,0,-2
P2,PO3,44,50,2,0,-2
P2,PO4,44,53,2,0,-2
CP6,Oz,38,55,2,0,-2
TP8,P4,39,45,2,0,-2
FT7,T5,16,40,2,0,-2
F8,FC5,15,17,2,0,-2
F8,FC1,15,19,2,0,-2
F8,P2,15,44,2,0,-2
F8,FPz,15,48,2,0,-2
AF7,AF8,1,6,2,1,-1
AF7,F3,1,10,2,0,-2
AF7,F2,1,12,2,0,-2
PO4,Oz,53,55,2,0,-2
PO8,AFz,54,56,2,0,-2
PO8,FCz,54,58,2,0,-2
F7,FT8,8,23,2,0,-2
F7,T3,8,24,2,2,0
F7,C6,8,30,2,0,-2
AF8,T5,6,40,2,0,-2
C1,PO4,27,53,2,0,-2
C5,CP5,25,33,2,3,1
C5,Oz,25,55,2,0,-2
C3,TP8,26,39,2,0,-2
C3,PO8,26,54,2,0,-2
T3,CP3,24,34,2,0,-2
T3,CP6,24,38,2,1,-1
T3,Oz,24,55,2,0,-2
F7,O1,8,51,2,1,-1
F7,AFz,8,56,2,0,-2
F5,F1,9,11,2,0,-2
F5,F8,9,15,2,0,-2
A2,C4,7,29,2,1,-1
A2,O2,7,52,2,1,-1
T3,CPz,24,60,2,0,-2
C5,C3,25,26,2,0,-2
C3,Cz,26,59,2,0,-2
C1,C4,27,29,2,2,0
C1,TP7,27,32,2,0,-2
C1,CP2,27,36,2,0,-2
C1,CP4,27,37,2,0,-2
C1,PO7,27,49,2,0,-2
C1,PO3,27,50,2,0,-2
AF8,P2,6,44,2,0,-2
AF8,CPz,6,60,2,0,-2
AF4,P2,5,44,2,0,-2
AF4,FPz,5,48,2,0,-2
AF8,F7,6,8,2,0,-2
F7,FC1,8,19,2,0,-2
FT8,CP6,23,38,2,0,-2
FT8,TP8,23,39,2,0,-2
FT8,FPz,23,48,2,0,-2
F5,C3,9,26,2,0,-2
F5,TP7,9,32,2,0,-2
F5,P5,9,41,2,0,-2
F7,CP2,8,36,2,0,-2
F7,PO3,8,50,2,0,-2
C2,C4,28,29,2,0,-2
AF8,F8,6,15,2,0,-2
AF8,FT7,6,16,2,0,-2
FP2,AFz,4,56,2,0,-2
AF4,F6,5,14,2,0,-2
F3,FC2,10,20,2,0,-2
F5,FC3,9,18,2,0,-2
F5,FC1,9,19,2,0,-2
F5,FC2,9,20,2,0,-2
F5,FC4,9,21,2,0,-2
FT8,FCz,23,58,2,0,-2
FT8,C5,23,25,2,0,-2
C4,P3,29,42,2,0,-2
AF4,FC1,5,19,2,0,-2
AF4,FC2,5,20,2,0,-2
AF4,C2,5,28,2,0,-2
AF4,P3,5,42,2,0,-2
FP2,AF8,4,6,2,0,-2
FP2,F7,4,8,2,0,-2
FP2,F5,4,9,2,0,-2
FP2,FT7,4,16,2,0,-2
C6,CP6,30,38,2,0,-2
C6,O1,30,51,2,0,-2
C6,Oz,30,55,2,0,-2
F3,CP3,10,34,2,0,-2
F3,CP1,10,35,2,0,-2
F3,T5,10,40,2,0,-2
F5,FCz,9,58,2,0,-2
F3,F1,10,11,2,1,-1
FT8,CP5,23,33,2,0,-2
FP2,FC4,4,21,2,2,0
FP2,T3,4,24,2,0,-2
FP2,PO8,4,54,2,0,-2
Fp1,FC1,3,19,2,0,-2
Fp1,C2,3,28,2,1,-1
Fp1,CP3,3,34,2,0,-2
Fp1,P3,3,42,2,2,0
CP5,Oz,33,55,2,0,-2
T4,CP3,31,34,2,0,-2
T4,P2,31,44,2,0,-2
TP7,TP8,32,39,2,0,-2
FC2,P3,20,42,2,0,-2
FC2,T6,20,47,2,1,-1
FC2,Oz,20,55,2,0,-2
FC2,CPz,20,60,2,0,-2
FC4,FT8,21,23,2,0,-2
F3,PO3,10,50,2,0,-2
CP1,FCz,35,58,2,1,-1
Fp1,Oz,3,55,2,0,-2
AF3,FT8,2,23,2,0,-2
AF3,CP6,2,38,2,1,-1
CP2,P6,36,46,2,0,-2
CP2,PO4,36,53,2,0,-2
CP2,PO8,36,54,2,0,-2
CP3,P3,34,42,2,0,-2
CP1,P4,35,45,2,0,-2
TP7,P2,32,44,2,0,-2
TP7,P4,32,45,2,0,-2
F3,T3,10,24,2,0,-2
F3,C5,10,25,2,0,-2
F1,FC2,11,20,2,0,-2
F1,T3,11,24,2,0,-2
F1,CP3,11,34,2,0,-2
F1,FPz,11,48,2,0,-2
F1,PO8,11,54,2,0,-2
F1,Oz,11,55,2,1,-1
